iter	Passed	Remaining
164	560	2835
165	563	2830
166	566	2824
167	569	2818
168	572	2813
169	575	2807
170	578	2802
171	581	2797
172	584	2793
173	587	2787
174	590	2782
175	593	2777
176	596	2774
177	599	2769
178	602	2763
179	605	2759
180	608	2754
181	611	2749
182	614	2744
183	617	2739
184	621	2736
185	624	2732
186	627	2727
187	630	2722
188	633	2717
189	636	2714
190	639	2709
191	643	2707
192	646	2702
193	649	2698
194	652	2692
195	655	2687
196	658	2683
197	661	2678
198	664	2673
199	667	2669
200	670	2664
201	673	2660
202	676	2656
203	679	2651
204	682	2647
205	686	2645
206	689	2641
207	692	2637
208	695	2633
209	699	2630
210	702	2625
211	705	2621
212	708	2617
213	711	2613
214	714	2608
215	717	2604
216	720	2599
217	723	2596
218	727	2594
219	730	2589
220	733	2585
221	737	2582
222	740	2579
223	743	2577
224	746	2572
225	749	2567
226	753	2565
227	756	2560
228	759	2556
229	762	2551
230	765	2546
231	768	2542
232	771	2538
233	774	2535
234	777	2532
235	780	2527
236	784	2524
237	787	2519
238	790	2515
239	793	2511
240	796	2509
241	801	2509
242	804	2505
243	807	2501
244	810	2496
245	813	2492
246	816	2488
247	819	2484
248	822	2480
249	825	2476
250	828	2471
251	831	2468
252	834	2464
253	837	2460
254	840	2456
255	843	2452
256	847	2448
257	850	2446
258	854	2445
259	858	2444
260	862	2442
261	865	2438
262	868	2434
263	871	2429
264	874	2426
265	877	2422
266	881	2419
267	884	2415
268	887	2411
269	890	2408
270	893	2404
271	897	2401
272	900	2397
273	903	2393
274	906	2389
275	909	2386
276	912	2381
277	915	2377
278	918	2373
279	921	2369
280	924	2365
281	927	2361
282	930	2357
283	934	2354
284	937	2352
285	940	2348
286	944	2345
287	947	2341
288	950	2338
289	953	2334
290	957	2331
291	960	2328
292	963	2324
293	966	2321
294	969	2317
295	972	2313
296	975	2310
297	979	2306
298	982	2302
299	985	2298
300	988	2296
301	991	2292
302	994	2288
303	998	2285
304	1001	2281
305	1004	2278
306	1007	2274
307	1010	2271
308	1013	2267
309	1016	2263
310	1019	2259
311	1023	2255
312	1026	2252
313	1029	2249
314	1032	2245
315	1035	2241
316	1038	2237
317	1042	2234
318	1045	2232
319	1049	2230
320	1052	2227
321	1056	2224
322	1059	2220
323	1062	2217
324	1066	2214
325	1069	2210
326	1072	2206
327	1075	2203
328	1078	2199
329	1081	2195
330	1084	2192
331	1087	2188
332	1091	2185
333	1094	2182
334	1097	2178
335	1100	2175
336	1104	2172
337	1107	2169
338	1111	2166
339	1114	2162
340	1117	2159
341	1120	2156
342	1123	2152
343	1127	2149
344	1130	2146
345	1133	2142
346	1136	2138
347	1139	2135
348	1142	2132
349	1146	2128
350	1149	2125
351	1152	2121
352	1155	2117
353	1158	2113
354	1161	2109
355	1164	2106
356	1167	2102
357	1170	2098
358	1173	2095
359	1176	2091
360	1179	2088
361	1182	2084
362	1185	2080
363	1188	2077
364	1191	2073
365	1194	2069
366	1197	2066
367	1200	2062
368	1204	2058
369	1207	2055
370	1210	2051
371	1213	2047
372	1216	2044
373	1219	2040
374	1222	2036
375	1225	2033
376	1228	2030
377	1231	2026
378	1234	2022
379	1237	2019
380	1240	2015
381	1244	2012
382	1247	2009
383	1250	2006
384	1253	2002
385	1257	1999
386	1260	1995
387	1263	1992
388	1266	1989
389	1269	1985
390	1272	1981
391	1275	1978
392	1278	1974
393	1281	1970
394	1284	1967
395	1287	1963
396	1290	1960
397	1293	1956
398	1296	1953
399	1299	1949
400	1302	1946
401	1305	1942
402	1308	1939
403	1312	1935
404	1315	1932
405	1318	1928
406	1321	1924
407	1324	1921
408	1327	1917
409	1330	1915
410	1333	1911
411	1336	1908
412	1339	1904
413	1342	1900
414	1346	1897
415	1349	1895
416	1353	1892
417	1356	1889
418	1360	1885
419	1363	1882
420	1366	1878
421	1369	1875
422	1372	1872
423	1375	1868
424	1378	1864
425	1381	1861
426	1384	1857
427	1387	1854
428	1390	1850
429	1393	1847
430	1396	1843
431	1399	1840
432	1402	1836
433	1405	1833
434	1409	1830
435	1412	1826
436	1415	1823
437	1418	1819
438	1422	1817
439	1425	1814
440	1428	1810
441	1431	1807
442	1434	1804
443	1438	1800
444	1441	1797
445	1444	1794
446	1448	1791
447	1451	1788
448	1454	1784
449	1457	1781
450	1460	1777
451	1463	1774
452	1466	1770
453	1469	1767
454	1472	1763
455	1475	1760
456	1478	1756
457	1481	1753
458	1485	1750
459	1488	1747
460	1491	1743
461	1494	1740
462	1497	1736
463	1500	1733
464	1503	1730
465	1507	1727
466	1510	1723
467	1513	1720
468	1516	1717
469	1519	1713
470	1522	1710
471	1525	1706
472	1528	1703
473	1531	1699
474	1534	1696
475	1537	1692
476	1540	1689
477	1543	1685
478	1546	1682
479	1549	1679
480	1553	1675
481	1556	1672
482	1559	1668
483	1562	1665
484	1565	1661
485	1568	1658
486	1571	1654
487	1574	1651
488	1577	1648
489	1580	1644
490	1583	1641
491	1586	1638
492	1589	1634
493	1592	1631
494	1595	1628
495	1598	1624
496	1602	1621
497	1604	1617
498	1608	1614
499	1611	1611
500	1614	1608
501	1617	1604
502	1621	1601
503	1623	1598
504	1626	1594
505	1629	1591
506	1633	1588
507	1636	1584
508	1639	1581
509	1642	1577
510	1645	1574
511	1648	1571
512	1651	1568
513	1655	1565
514	1659	1562
515	1662	1559
516	1665	1556
517	1668	1552
518	1672	1549
519	1675	1546
520	1678	1543
521	1681	1539
522	1684	1536
523	1687	1533
524	1690	1529
525	1693	1526
526	1697	1523
527	1700	1519
528	1703	1516
529	1706	1513
530	1709	1509
531	1712	1506
532	1715	1503
533	1718	1499
534	1721	1496
535	1724	1492
536	1727	1489
537	1730	1486
538	1733	1482
539	1736	1479
540	1740	1476
541	1743	1473
542	1746	1470
543	1750	1467
544	1753	1463
545	1756	1460
546	1759	1457
547	1762	1453
548	1766	1450
549	1769	1447
550	1772	1444
551	1775	1441
552	1778	1437
553	1782	1434
554	1785	1431
555	1788	1428
556	1791	1424
557	1794	1421
558	1797	1418
559	1800	1414
560	1803	1411
561	1807	1408
562	1810	1405
563	1813	1402
564	1817	1398
565	1820	1395
566	1823	1392
567	1826	1388
568	1830	1386
569	1833	1383
570	1836	1379
571	1839	1376
572	1842	1373
573	1845	1369
574	1849	1366
575	1852	1363
576	1858	1362
577	1862	1359
578	1865	1356
579	1869	1353
580	1872	1350
581	1875	1347
582	1878	1343
583	1882	1340
584	1885	1337
585	1888	1334
586	1891	1330
587	1894	1327
588	1897	1324
589	1900	1320
590	1904	1317
591	1907	1314
592	1910	1311
593	1913	1307
594	1916	1304
595	1919	1301
596	1922	1297
597	1925	1294
598	1929	1291
599	1932	1288
600	1935	1284
601	1938	1281
602	1941	1278
603	1944	1274
604	1947	1271
605	1950	1268
606	1953	1264
607	1956	1261
608	1960	1258
609	1963	1255
610	1966	1251
611	1969	1248
612	1972	1245
613	1975	1242
614	1978	1238
615	1981	1235
616	1984	1231
617	1987	1228
618	1990	1225
619	1993	1222
620	1997	1218
621	2000	1215
622	2003	1212
623	2006	1208
624	2009	1205
625	2012	1202
626	2015	1199
627	2018	1195
628	2021	1192
629	2024	1189
630	2028	1186
631	2031	1182
632	2034	1179
633	2037	1176
634	2040	1172
635	2044	1169
636	2047	1166
637	2050	1163
638	2053	1160
639	2056	1157
640	2059	1153
641	2062	1150
642	2066	1147
643	2069	1143
644	2072	1140
645	2075	1137
646	2078	1134
647	2081	1130
648	2084	1127
649	2087	1124
650	2090	1120
651	2093	1117
652	2096	1114
653	2099	1110
654	2102	1107
655	2105	1104
656	2109	1101
657	2111	1097
658	2114	1094
659	2117	1090
660	2120	1087
661	2124	1084
662	2127	1081
663	2130	1077
664	2133	1074
665	2136	1071
666	2139	1068
667	2142	1064
668	2145	1061
669	2148	1058
670	2151	1054
671	2154	1051
672	2157	1048
673	2160	1044
674	2163	1041
675	2166	1038
676	2169	1034
677	2172	1031
678	2175	1028
679	2178	1025
680	2181	1021
681	2184	1018
682	2187	1015
683	2190	1011
684	2193	1008
685	2196	1005
686	2200	1002
687	2203	999
688	2206	996
689	2210	993
690	2213	989
691	2217	986
692	2220	983
693	2223	980
694	2226	977
695	2229	973
696	2232	970
697	2236	967
698	2239	964
699	2242	961
700	2246	958
701	2249	954
702	2252	951
703	2256	948
704	2259	945
705	2263	942
706	2265	939
707	2268	935
708	2272	932
709	2274	929
710	2278	926
711	2281	922
712	2285	919
713	2288	916
714	2291	913
715	2294	910
716	2298	907
717	2301	903
718	2304	900
719	2307	897
720	2310	894
721	2313	890
722	2317	887
723	2320	884
724	2323	881
725	2326	878
726	2329	874
727	2332	871
728	2335	868
729	2338	864
730	2341	861
731	2344	858
732	2348	855
733	2351	852
734	2354	848
735	2357	845
736	2360	842
737	2363	839
738	2366	835
739	2369	832
740	2372	829
741	2375	826
742	2378	822
743	2381	819
744	2384	816
745	2387	813
746	2391	809
747	2394	806
748	2397	803
749	2400	800
750	2403	796
751	2406	793
752	2409	790
753	2412	787
754	2415	783
755	2418	780
756	2421	777
757	2425	774
758	2428	770
759	2431	767
760	2434	764
761	2437	761
762	2441	758
763	2444	755
764	2447	751
765	2450	748
766	2454	745
767	2457	742
768	2460	739
769	2463	735
770	2466	732
771	2469	729
772	2472	726
773	2475	722
774	2479	719
775	2482	716
776	2485	713
777	2488	710
778	2491	706
779	2494	703
780	2498	700
781	2501	697
782	2504	694
783	2507	690
784	2510	687
785	2514	684
786	2517	681
787	2520	678
788	2523	674
789	2526	671
790	2529	668
791	2532	665
792	2535	661
793	2538	658
794	2541	655
795	2544	652
796	2547	648
797	2550	645
798	2553	642
799	2556	639
800	2559	635
801	2562	632
802	2565	629
803	2568	626
804	2571	622
805	2574	619
806	2577	616
807	2580	613
808	2583	610
809	2586	606
810	2590	603
811	2593	600
812	2596	597
813	2599	593
814	2602	590
815	2605	587
816	2608	584
817	2611	581
818	2615	578
819	2618	574
820	2621	571
821	2624	568
822	2627	565
823	2631	562
824	2634	558
825	2640	556
826	2644	553
827	2647	550
828	2651	546
829	2654	543
830	2657	540
831	2660	537
832	2663	533
833	2666	530
834	2669	527
835	2672	524
836	2675	521
837	2678	517
838	2681	514
839	2684	511
840	2687	508
841	2690	504
842	2693	501
843	2696	498
844	2700	495
845	2703	492
846	2706	488
847	2709	485
848	2712	482
849	2715	479
850	2718	475
851	2721	472
852	2724	469
853	2727	466
854	2730	463
855	2733	459
856	2736	456
857	2739	453
858	2742	450
859	2745	446
860	2748	443
861	2751	440
862	2754	437
863	2757	433
864	2760	430
865	2763	427
866	2766	424
867	2769	421
868	2772	417
869	2775	414
870	2778	411
871	2781	408
872	2784	405
873	2787	401
874	2790	398
875	2793	395
876	2797	392
877	2800	389
878	2803	385
879	2806	382
880	2809	379
881	2813	376
882	2816	373
883	2819	369
884	2822	366
885	2825	363
886	2829	360
887	2832	357
888	2835	354
889	2839	350
890	2842	347
891	2845	344
892	2848	341
893	2851	338
894	2854	334
895	2857	331
896	2861	328
897	2863	325
898	2867	322
899	2870	318
900	2873	315
901	2876	312
902	2878	309
903	2881	306
904	2884	302
905	2888	299
906	2891	296
907	2894	293
908	2898	290
909	2901	286
910	2904	283
911	2907	280
912	2910	277
913	2913	274
914	2916	270
915	2919	267
916	2922	264
917	2925	261
918	2928	258
919	2931	254
920	2935	251
921	2937	248
922	2941	245
923	2943	242
924	2946	238
925	2950	235
926	2953	232
927	2956	229
928	2959	226
929	2962	222
930	2965	219
931	2968	216
932	2971	213
933	2974	210
934	2977	207
935	2980	203
936	2983	200
937	2986	197
938	2989	194
939	2992	191
940	2996	187
941	2999	184
942	3002	181
943	3005	178
944	3008	175
945	3012	171
946	3015	168
947	3018	165
948	3021	162
949	3024	159
950	3028	156
951	3031	152
952	3034	149
953	3037	146
954	3040	143
955	3043	140
956	3047	136
957	3050	133
958	3053	130
959	3056	127
960	3059	124
961	3062	120
962	3066	117
963	3069	114
964	3072	111
965	3076	108
966	3079	105
967	3082	101
968	3085	98
969	3089	95
970	3092	92
971	3095	89
972	3099	86
973	3102	82
974	3105	79
975	3108	76
976	3112	73
977	3115	70
978	3118	66
979	3121	63
980	3124	60
981	3127	57
982	3130	54
983	3132	50
984	3136	47
985	3139	44
986	3142	41
987	3145	38
988	3148	35
989	3151	31
990	3154	28
991	3157	25
992	3160	22
993	3163	19
994	3166	15
995	3169	12
996	3172	9
997	3175	6
998	3178	3
999	3181	0
